Date,S&P 500,Malaysia KLCI,FTSE 100,Dubai DFMGI,Singapore STI,Hong Kong HSI,Shanghai Composite,Shenzhen Component,Nikkei 225,Germany DAX
2003-01-02,909.030029296875,632.4299926757812,4009.5,,1335.97998046875,9365.51953125,1320.6300048828125,2689.4599609375,,3105.0400390625
2003-01-03,908.5900268554688,633.5,4005.0,,1339.9300537109375,9583.849609375,1319.8680419921875,2687.68994140625,,3092.93994140625
2003-01-06,929.010009765625,627.8900146484375,4001.39990234375,,1331.6199951171875,9665.9599609375,1334.678955078125,2722.24951171875,8713.330078125,3157.25
2003-01-07,922.9299926757812,626.1699829101562,3957.39990234375,,1318.739990234375,9652.400390625,1332.06103515625,2718.299560546875,8656.5,3112.77001953125
2003-01-08,909.9299926757812,625.1300048828125,3924.800048828125,,1332.3199462890625,9688.2099609375,1372.0670166015625,2790.0087890625,8517.7998046875,2993.0
2003-01-09,927.5700073242188,626.5800170898438,3934.0,,1335.0899658203125,9675.41015625,1397.384033203125,2835.458251953125,8497.9296875,3037.679931640625
2003-01-10,927.5700073242188,635.8200073242188,3974.10009765625,,1347.1700439453125,9721.5,1384.8590087890625,2811.158447265625,8470.4501953125,3037.330078125
2003-01-13,926.260009765625,651.47998046875,3948.300048828125,,1386.050048828125,9834.080078125,1386.31396484375,2821.568603515625,,3060.64990234375
2003-01-14,931.6599731445312,661.4099731445312,3945.60009765625,,1401.3699951171875,9796.3095703125,1466.8509521484375,2999.366455078125,8553.0595703125,3098.719970703125
2003-01-15,918.219970703125,668.2100219726562,3887.800048828125,,1386.6199951171875,9873.490234375,1459.9200439453125,2963.956787109375,8611.75,3049.39990234375
2003-01-16,914.5999755859375,670.1400146484375,3881.800048828125,,1379.52001953125,9743.23046875,1485.6180419921875,3010.576171875,8609.169921875,3054.110107421875
2003-01-17,901.780029296875,670.530029296875,3820.60009765625,,1366.8299560546875,9614.58984375,1478.675048828125,2998.636474609375,8690.25,2918.820068359375
2003-01-20,,666.3599853515625,3778.60009765625,,1363.18994140625,9552.01953125,1482.6810302734375,3012.046142578125,8558.8203125,2893.550048828125
