Index,Window Length,VaR Level,Model,num_forecasts,num_violations,violation_rate,target_violation_rate,abs_deviation
S&P 500,2000,0.95,Normal VaR,3864,145,0.037525879917184264,0.050000000000000044,0.01247412008281578
S&P 500,2000,0.99,Normal VaR,3864,68,0.017598343685300208,0.010000000000000009,0.007598343685300199
S&P 500,2000,0.995,Normal VaR,3864,56,0.014492753623188406,0.0050000000000000044,0.009492753623188402
Malaysia KLCI,2000,0.95,Normal VaR,3717,146,0.039278988431530805,0.050000000000000044,0.01072101156846924
Malaysia KLCI,2000,0.99,Normal VaR,3717,54,0.014527845036319613,0.010000000000000009,0.004527845036319604
Malaysia KLCI,2000,0.995,Normal VaR,3717,46,0.012375571697605597,0.0050000000000000044,0.007375571697605592
FTSE 100,2000,0.95,Normal VaR,3888,121,0.031121399176954733,0.050000000000000044,0.01887860082304531
FTSE 100,2000,0.99,Normal VaR,3888,57,0.014660493827160493,0.010000000000000009,0.004660493827160484
FTSE 100,2000,0.995,Normal VaR,3888,42,0.010802469135802469,0.0050000000000000044,0.005802469135802464
Dubai DFMGI,2000,0.95,Normal VaR,2467,63,0.02553708958248885,0.050000000000000044,0.024462910417511193
Dubai DFMGI,2000,0.99,Normal VaR,2467,33,0.013376570733684636,0.010000000000000009,0.0033765707336846276
Dubai DFMGI,2000,0.995,Normal VaR,2467,29,0.011755168220510741,0.0050000000000000044,0.006755168220510737
Singapore STI,2000,0.95,Normal VaR,3834,102,0.026604068857589983,0.050000000000000044,0.02339593114241006
Singapore STI,2000,0.99,Normal VaR,3834,44,0.011476264997391758,0.010000000000000009,0.0014762649973917488
Singapore STI,2000,0.995,Normal VaR,3834,34,0.008868022952529996,0.0050000000000000044,0.003868022952529991
Hong Kong HSI,2000,0.95,Normal VaR,3743,158,0.042212129308041677,0.050000000000000044,0.007787870691958368
Hong Kong HSI,2000,0.99,Normal VaR,3743,58,0.015495591771306438,0.010000000000000009,0.0054955917713064295
Hong Kong HSI,2000,0.995,Normal VaR,3743,41,0.010953780390061448,0.0050000000000000044,0.005953780390061444
Shanghai Composite,2000,0.95,Normal VaR,3652,97,0.02656078860898138,0.050000000000000044,0.023439211391018663
Shanghai Composite,2000,0.99,Normal VaR,3652,45,0.012322015334063527,0.010000000000000009,0.0023220153340635184
Shanghai Composite,2000,0.995,Normal VaR,3652,35,0.009583789704271631,0.0050000000000000044,0.004583789704271627
Shenzhen Component,2000,0.95,Normal VaR,3653,120,0.03284971256501506,0.050000000000000044,0.017150287434984986
Shenzhen Component,2000,0.99,Normal VaR,3653,51,0.013961127840131399,0.010000000000000009,0.00396112784013139
Shenzhen Component,2000,0.995,Normal VaR,3653,39,0.010676156583629894,0.0050000000000000044,0.005676156583629889
Nikkei 225,2000,0.95,Normal VaR,3704,140,0.03779697624190065,0.050000000000000044,0.012203023758099396
Nikkei 225,2000,0.99,Normal VaR,3704,53,0.014308855291576673,0.010000000000000009,0.004308855291576664
Nikkei 225,2000,0.995,Normal VaR,3704,36,0.009719222462203024,0.0050000000000000044,0.004719222462203019
Germany DAX,2000,0.95,Normal VaR,3919,149,0.0380199030364889,0.050000000000000044,0.011980096963511142
Germany DAX,2000,0.99,Normal VaR,3919,64,0.01633069660627711,0.010000000000000009,0.006330696606277102
Germany DAX,2000,0.995,Normal VaR,3919,47,0.011992855320234754,0.0050000000000000044,0.006992855320234749
