Date,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,PHP100,THB100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
2025-01-02,4.4775,5.6134,4.6438,2.8489,4.9489,2.7832,3.1145,3.2916,57.5988,7.7405,13.1044,13.6341,0.3051,0.0276,119.1649,5.8392,0.6134,3.2916,0.0176,0.1108,2.5148,0.2139,5.223,121.9031,1.6084,3.2637,0.0881
2025-01-03,4.495,5.5709,4.6166,2.8573,4.9285,2.7921,3.1248,3.284,57.7827,7.7234,13.0716,13.644,0.3065,0.0277,119.6625,5.843,0.6158,3.284,0.0177,0.1111,2.519,0.2147,5.2403,122.3929,1.6139,3.2754,0.0885
2025-01-06,4.513,5.6121,4.6558,2.8615,4.9626,2.8084,3.1332,3.2948,58.0439,7.7417,13.0556,13.7169,0.3069,0.0279,120.1848,5.8602,0.6158,3.2948,0.0178,0.1116,2.5372,0.2155,5.2606,122.8696,1.6205,3.2877,0.089
2025-01-07,4.51,5.6526,4.6872,2.8522,4.9845,2.8237,3.1487,3.3052,58.018,7.7608,13.0253,13.7798,0.31,0.0279,120.1001,5.8563,0.6154,3.3052,0.0178,0.1114,2.5533,0.2154,5.2598,122.7996,1.6191,3.2874,0.089
2025-01-08,4.4995,5.6147,4.6561,2.8443,4.948,2.8043,3.1355,3.2946,57.8647,7.7092,12.9968,13.6846,0.3091,0.0278,119.8333,5.867,0.6137,3.2946,0.0177,0.1111,2.5348,0.2149,5.2419,122.502,1.6152,3.2762,0.0888
2025-01-09,4.4995,5.5542,4.6394,2.8483,4.9404,2.7892,3.1294,3.2895,57.8375,7.7046,12.9893,13.669,0.3088,0.0277,119.8493,5.8379,0.6137,3.2895,0.0177,0.111,2.5186,0.2149,5.2364,122.5004,1.6145,3.2727,0.0889
2025-01-10,4.4935,5.5275,4.6276,2.8398,4.9265,2.7842,3.1179,3.2838,57.7459,7.6983,12.987,13.6328,0.3077,0.0278,119.6894,5.8301,0.6129,3.2838,0.0177,0.1108,2.5134,0.2146,5.2329,122.3387,1.6122,3.2706,0.0889
2025-01-13,4.509,5.476,4.6062,2.8643,4.9147,2.7697,3.1219,3.2826,57.9157,7.6854,12.9774,13.6125,0.3063,0.0277,120.1103,5.8497,0.615,3.2827,0.0178,0.1112,2.5072,0.2154,5.224,122.7607,1.619,3.265,0.0892
2025-01-14,4.5015,5.4961,4.6136,2.8571,4.914,2.7851,3.1309,3.2858,57.8302,7.687,12.9801,13.6069,0.308,0.0277,119.9025,5.8163,0.6141,3.2858,0.0177,0.1112,2.524,0.215,5.2034,122.5682,1.6153,3.2523,0.0891
2025-01-15,4.506,5.4989,4.6421,2.8539,4.9392,2.791,3.1394,3.293,57.8501,7.6789,12.9595,13.6355,0.3087,0.0276,120.0448,5.8352,0.6146,3.293,0.0178,0.1113,2.5263,0.2152,5.2056,122.6757,1.6159,3.2535,0.0893
2025-01-16,4.4975,5.4989,4.6275,2.8872,4.9296,2.7932,3.1336,3.289,57.7495,7.6903,13.0108,13.6453,0.3086,0.0275,119.8375,5.8365,0.6134,3.289,0.0177,0.1114,2.5226,0.2148,5.2027,122.4476,1.6129,3.2518,0.0892
2025-01-17,4.5015,5.5069,4.6368,2.8958,4.9418,2.797,3.1271,3.2954,57.7986,7.6863,13.063,13.6786,0.3092,0.0275,119.9728,5.8407,0.6143,3.2954,0.0178,0.1111,2.5231,0.215,5.1992,122.5565,1.6146,3.2495,0.0893
